id,category,title,severity,likelihood,jurisdiction,owner,status,mitigation,residual,citations
R01,securities,Retroactive funding profit narrative + uncapped secondary market,Critical,High,US+CA,Founder+Counsel,Open,"Choose posture A/B/C and implement; or formal opinion for D; scrub all end-user profit language; feature-flag market",High until posture ships,"specs/product/legal/securities.md; docs/end-user/lazyGiving/retroactive-funding.md; hardhat/contracts/marketplace/ERC1155SecondaryMarket.sol"
R02,securities,Operator as unregistered exchange/CTP if market UI ships tokens-as-securities,Critical,Medium,US+CA,Founder+Counsel,Open,Resolve R01 first; do not encourage community trading UIs until resolved,High if market on,"operator-posture.md; CSA SN 21-329 framing in securities.md"
R03,custody-control,ChannelVerifier sole signer can redirect ChannelEscrow,Critical,Medium,US+CA,Tech lead,Open,Trustless verifier trajectory step; cold/multisig owner; monitoring security.onchain-owners,Med after multisig,"ChannelVerifier.sol; ChannelEscrow.sol; workflow/security-recoverability.md"
R04,sanctions,UI facilitates contributions without wallet/identity screening,High,Medium,US+CA,Ops,Open,Chainalysis/TRM-style screening at display/contribute; takedown SOP; report-abuse,Med,"specs/product/legal/sanctions.md"
R05,sanctions-publicity,Unclaimed channel escrow holds funds for named non-consenting creators,High,Medium,US+CA,Product+Legal,Open,Screen at create/display; clear non-affiliation framing; keep veto+fees,Med,"ChannelEscrow.sol; what-we-host-and-control.md"
R06,operator,Sole operator of eight UIs+indexer+AI undermines protocol defense,High,High,US+CA,Founder,Open,Incorporate; ToS; honest platform posture for operated layers; multi-provider roadmap,Med,"operator-posture.md; ui/src/domains/index.ts"
R07,political,CSM/Civility + sponsored gas as campaign-adjacent / in-kind,High,Medium,US+CA,Founder,Open,Launch policy excluding election campaign funding; delay CSM money until policy+Coinbase disclosure review,Med,"political-funding.md; beat-agent US politics config; sponsored-gas/"
R08,speech,Canada no Section 230 — hosted statements + AI implications,High,Medium,CA (+US residual),Ops+Counsel,Open,Notice-and-takedown; DMCA agent US; frame AI as automated opinion; positive-only civility,Med,"content-and-speech.md"
R09,money-tx,Custody creep via fees/onramp/sponsored gas misdesign,Medium,Low,US+CA,Tech,Watch,Keep bridges.md discipline; no platform fee on fund flows; counsel check FINTRAC MSB,Low if discipline holds,"money-transmission.md; specs/tech/bridges.md"
R10,privacy,Trust graph + email/Privy + on-chain = PIPEDA personal info,Medium,High,CA (+US states),Ops,Open,Privacy policy; retention; purpose limitation; cross-border notice,Med,"privacy.md; TrustRegistry.sol"
R11,tax,Donation framing implying tax receipts,Medium,Medium,US+CA,Ops,Open,Explicit no-tax-receipt disclaimers on pledge flows,Low,"tax.md"
R12,charitable,Fundraising platform solicitation rules,Medium,Medium,US states+CA provinces,Counsel,Open,Entity + registration assessment by counsel after incorporation,Med,"charitable-solicitation.md"
R13,scale,Cause board / leaderboard folds non-scalable,High,High,N/A,Tech,Open,Server projection or pagination for cross-entity queries before viral launch,Med,"specs/tech/scalability.md; sdk getTopContributorsForCause"
R14,scale,Fold accumulators not persisted — fold-from-scratch,Medium,Medium,N/A,Tech,Open,Wire accumulator storage when entity event volume grows,Low near-term,"indexer/README.md fold versioning section"
R15,scale,IPFS without CDN cold-start,Medium,High,N/A,Ops,Open,CDN/gateway caching for IPFS content and UI,Med,"scalability.md"
R16,security,Secrets in LLM-operable environment; non-rotatable keys,High,Medium,N/A,Founder,Partial,Cold store operator secrets; branch protection; key rotation runbooks,Med,"security-recoverability.md"
R17,security,No external professional contract audit pre-mainnet,High,High,N/A,Founder,Open,Engage audit firm; bug bounty; keep Hardhat+Slither as baseline,High until audit,"hardhat/README.md; security.md"
R18,ai,Attester/nudger monoculture = editorial speech under operator keys,High,High,US+CA,Product,Open,Independent providers; user-selectable attesters; document methodology,Med,"multiple-providers.md; implication-attester; content-attester"
R19,product,Mainstream no-custody UX incomplete (Privy/onramp/gas),Medium,High,N/A,Product,Open,Finish e2e sponsored-gas + onramp path before mass marketing,Med,"mvp.md deferred; spikes/coinbase-onramp"
R20,securities,Fan-created content contracts as investment vehicles naming non-consenting creators,High,Medium,US+CA,Product+Legal,Open,If tokens are securities this worsens; non-affiliation UX; consider gate third-party create until posture set,Med,"securities.md re-rank Jul 2026; CreatorAssuranceContractFactory third-party path"
